customer_id,full_name,gender,birth_date,phone,email,city,region,loyalty_tier,registration_date
CUS01518,Mohamed Mansour,Male,01/05/1981,1158132110,mohamed.mansour52@hotmail.com,Suez,Canal Zone,Bronze,19/12/2020
CUS02370,Maged Lotfy,Male,10/04/2003,1281872177,,Zagazig,Nile Delta,Bronze,13/05/2021
CUS01962,Ahmed Hafez,Male,03/05/1971,1141856715,ahmed.hafez18@outlook.com,Giza,Greater Cairo,Gold,26/09/2023
CUS00344,Hoda Fathy,Female,19/05/2000,1195645083,hoda.fathy26@outlook.com,Giza,Greater Cairo,Bronze,07/07/2021
CUS02664,Hussein Lotfy,Male,26/12/1998,1149528740,hussein.lotfy80@gmail.com,Tanta,Nile Delta,Bronze,05/10/2022
CUS01174,Nour Mostafa,Female,10/06/1984,1114481563,nour.mostafa72@hotmail.com,Cairo,Greater Cairo,Silver,07/10/2021
CUS02677,Hazem Hamdy,Male,25/09/1974,1084698064,hazem.hamdy68@outlook.com,Giza,Greater Cairo,Bronze,28/01/2020
CUS01028,Fatima Ramadan,Female,20/10/1975,1019232076,fatima.ramadan42@outlook.com,Aswan,Upper Egypt,Bronze,03/04/2023
CUS02084,Ramy Farouk,Male,17/08/1989,1069113227,ramy.farouk8@hotmail.com,Suez,Canal Zone,Silver,09/09/2021
CUS01445,Sherif Zaki,Male,06/01/1992,1252440768,sherif.zaki7@hotmail.com,Luxor,Upper Egypt,Silver,25/10/2020
CUS00933,Bassem Farouk,Male,18/12/1990,1229438263,bassem.farouk40@gmail.com,Ismailia,Canal Zone,Silver,26/12/2020
CUS00179,Hossam Fathy,Male,08/10/1981,1248988647,hossam.fathy16@yahoo.com,Port Said,Canal Zone,Bronze,02/07/2023
CUS01594,Hoda Badawi,Female,14/11/1985,1271886181,hoda.badawi40@yahoo.com,Cairo,Greater Cairo,Gold,20/05/2022
CUS01948,Ahmed Mostafa,Male,01/12/1980,1070428122,ahmed.mostafa83@hotmail.com,Cairo,Greater Cairo,Platinum,20/07/2022
CUS01663,Yasmin Khalil,Female,18/11/1986,1078622351,yasmin.khalil15@gmail.com,Suez,Canal Zone,Silver,23/11/2023
CUS02432,Hussein Younis,Male,08/12/1994,1224467198,hussein.younis30@yahoo.com,Aswan,Upper Egypt,Bronze,07/03/2020
CUS02863,Ramy Ramadan,Male,22/05/1989,1019329244,ramy.ramadan58@yahoo.com,Port Said,Canal Zone,Platinum,19/04/2023
CUS02343,Doha Shaaban,Female,21/05/1998,1093235590,doha.shaaban46@gmail.com,Cairo,Greater Cairo,Bronze,19/08/2022
CUS01498,Tarek Ragab,Male,20/02/1974,1290242618,tarek.ragab11@gmail.com,Alexandria,Alexandria,Silver,11/11/2020
CUS02967,Ibrahim Bakr,Male,20/03/1980,1221940949,ibrahim.bakr8@outlook.com,Zagazig,Nile Delta,Platinum,17/10/2021
CUS02414,Salma Zaki,Female,07/05/1977,1095240437,salma.zaki23@hotmail.com,Cairo,Greater Cairo,Bronze,08/09/2023
CUS02808,Ramy Ali,Male,13/10/1995,1225235645,ramy.ali33@hotmail.com,Cairo,Greater Cairo,Bronze,07/03/2022
CUS01284,Hany Khalil,Male,24/01/1997,1258398175,hany.khalil59@outlook.com,Cairo,Greater Cairo,Bronze,17/05/2023
CUS02869,Engy Attia,Female,20/10/1991,1027978174,engy.attia68@yahoo.com,Giza,Greater Cairo,Bronze,07/01/2020
CUS00890,Tarek Lotfy,Male,07/03/1989,1044810342,,Cairo,Greater Cairo,Bronze,14/01/2023
CUS01460,Nour Bakr,Female,04/03/1980,1126675052,nour.bakr54@hotmail.com,Mansoura,Nile Delta,Silver,20/09/2020
CUS00652,Ramy Mansour,Male,16/05/1997,1034772080,ramy.mansour11@hotmail.com,Alexandria,Alexandria,Bronze,17/02/2023
CUS01437,Yasmin Abdallah,Female,08/08/1996,1223416165,yasmin.abdallah68@gmail.com,Giza,Greater Cairo,Gold,12/09/2022
CUS00555,Omar Ahmed,Male,26/09/1978,1167096991,,Luxor,Upper Egypt,Bronze,25/07/2023
CUS02264,Hussein Hassan,Male,12/09/1977,1216614286,hussein.hassan95@hotmail.com,Giza,Greater Cairo,Silver,24/01/2022
CUS00440,Ahmed Zaki,Male,07/09/1982,1214344197,,Cairo,Greater Cairo,Bronze,02/01/2023
CUS02568,Rana Ismail,Female,10/01/1994,1046060709,rana.ismail64@gmail.com,Giza,Greater Cairo,Gold,16/02/2021
CUS01042,Amr Salem,Male,24/07/2001,1143524010,amr.salem38@yahoo.com,Hurghada,Red Sea,Bronze,13/02/2021
CUS01227,Fady Lotfy,Male,24/03/1989,1228177418,fady.lotfy20@gmail.com,Giza,Greater Cairo,Gold,11/04/2021
CUS00189,Dina Attia,Female,27/02/1978,1272850928,dina.attia61@yahoo.com,Alexandria,Alexandria,Gold,28/03/2021
CUS01780,Sherif Hamdy,Male,14/02/1999,1164024116,,Aswan,Upper Egypt,Silver,07/01/2020
CUS00496,Nadia Badawi,Female,05/07/1977,1212906871,nadia.badawi95@yahoo.com,Giza,Greater Cairo,Bronze,10/08/2023
CUS00791,Ibrahim Hamdy,Male,13/07/1990,1279641006,ibrahim.hamdy27@outlook.com,Cairo,Greater Cairo,Silver,28/04/2022
CUS00573,Manar Ibrahim,Female,22/08/1992,1288709162,manar.ibrahim47@hotmail.com,Giza,Greater Cairo,Silver,20/10/2020
CUS02191,Hoda Younis,Female,13/10/1987,1160605064,hoda.younis8@hotmail.com,Cairo,Greater Cairo,Bronze,04/05/2023
CUS01711,Hana Badawi,Female,26/01/1988,1259175761,hana.badawi79@yahoo.com,Cairo,Greater Cairo,Silver,26/07/2023
CUS00832,Rania Ahmed,Female,12/11/1976,1112423190,rania.ahmed91@gmail.com,Giza,Greater Cairo,Bronze,19/05/2022
CUS00360,Heba Lotfy,Female,02/08/1989,1210626224,heba.lotfy31@yahoo.com,Alexandria,Alexandria,Bronze,14/01/2020
CUS02620,Essam Salem,Male,07/01/1982,1178042648,essam.salem29@yahoo.com,Giza,Greater Cairo,Gold,25/09/2020
CUS02008,Dalia Gamal,Female,12/08/1977,1193356597,dalia.gamal68@gmail.com,Hurghada,Red Sea,Bronze,20/01/2023
CUS00569,Ghada Gouda,Female,02/05/1995,1078043121,ghada.gouda76@gmail.com,Suez,Canal Zone,Gold,06/09/2021
CUS00103,Doha Ramadan,Female,11/01/1980,1039732676,doha.ramadan87@hotmail.com,Giza,Greater Cairo,Bronze,15/08/2023
CUS01584,Adel Hamdy,Male,19/03/1996,1073604365,,Alexandria,Alexandria,Silver,07/04/2020
CUS02287,Engy Gouda,Female,01/06/1978,1115247808,engy.gouda79@gmail.com,Ismailia,Canal Zone,Gold,18/11/2020
CUS02013,Zeinab Wahba,Female,11/09/1993,1146337178,zeinab.wahba56@outlook.com,Suez,Canal Zone,Gold,10/07/2021
CUS02663,Emad Khalil,Male,17/10/1981,1099277799,emad.khalil79@outlook.com,Cairo,Greater Cairo,Bronze,03/12/2023
CUS02824,Aisha Saad,Female,20/01/2000,1085204135,,Cairo,Greater Cairo,Bronze,04/11/2021
CUS01180,Doha Abdallah,Female,07/01/1987,1024212949,doha.abdallah41@gmail.com,Alexandria,Alexandria,Silver,24/04/2022
CUS00052,Emad Ahmed,Male,22/12/1979,1021503440,emad.ahmed30@gmail.com,Hurghada,Red Sea,Platinum,14/09/2023
CUS00508,Mona Gamal,Female,20/07/1974,1292199318,mona.gamal93@gmail.com,Aswan,Upper Egypt,Silver,16/01/2020
CUS01018,Ayman Fathy,Male,19/05/1995,1189602636,ayman.fathy26@outlook.com,Alexandria,Alexandria,Platinum,23/07/2022
CUS01092,Aisha Mostafa,Female,08/10/1977,1220713289,aisha.mostafa61@hotmail.com,Mansoura,Nile Delta,Bronze,28/11/2021
CUS00064,Emad Bakr,Male,21/05/1987,1297438349,emad.bakr77@outlook.com,Giza,Greater Cairo,Silver,05/11/2022
CUS00945,Karim Ramadan,Male,07/09/1996,1184351399,karim.ramadan21@outlook.com,Cairo,Greater Cairo,Bronze,17/01/2023
CUS02376,Maged Bakr,Male,28/12/1975,1150176369,maged.bakr1@hotmail.com,Cairo,Greater Cairo,Silver,28/06/2023
CUS00045,Samir Abdallah,Male,01/12/1981,1286884584,,Cairo,Greater Cairo,Silver,08/10/2022
