employee_id,first_name,last_name,gender,role,store_id,hire_date,monthly_salary_egp
EMP0001,Ghada,Sayed,Female,Store Manager,1,04/07/2018,14235
EMP0002,Nadia,Ali,Female,Sales Associate,1,18/08/2023,4255
EMP0003,Samah,Mahmoud,Female,Sales Associate,1,27/05/2022,5287
EMP0004,Neveen,Ismail,Female,Store Manager,1,02/02/2023,14854
EMP0005,Samir,Mahmoud,Male,Department Manager,1,28/04/2024,8706
EMP0006,Maged,Hamdy,Male,Department Manager,1,12/06/2019,8929
EMP0007,Sara,Khalil,Female,Senior Sales Associate,1,08/12/2022,6334
EMP0008,Emad,Farouk,Male,Sales Associate,1,27/06/2023,5573
EMP0009,Salma,Ali,Female,Sales Associate,1,13/06/2024,4548
EMP0010,Fady,Nasser,Male,Cashier,1,13/08/2023,5311
EMP0011,Dalia,Salem,Female,Sales Associate,1,08/03/2020,5525
EMP0012,Nadia,Ramadan,Female,Sales Associate,1,12/07/2022,4449
EMP0013,Mariam,Wahba,Female,Sales Associate,1,25/02/2021,4096
EMP0014,Yasmin,Khalil,Female,Department Manager,1,14/11/2024,9721
EMP0015,Bassem,Attia,Male,Department Manager,1,18/05/2022,10262
EMP0016,Rania,Saad,Female,Sales Associate,1,11/11/2024,4228
EMP0017,Youssef,Attia,Male,Department Manager,1,24/12/2018,9039
EMP0018,Noha,Wahba,Female,Cashier,1,10/11/2018,5223
EMP0019,Amira,Salem,Female,Department Manager,1,18/03/2020,10452
EMP0020,Fatima,Bakr,Female,Cashier,1,04/01/2021,5402
EMP0021,Adel,Amin,Male,Store Manager,1,19/04/2018,15439
EMP0022,Hossam,Ibrahim,Male,Sales Associate,1,25/09/2024,4257
EMP0023,Essam,Khalil,Male,Senior Sales Associate,1,28/09/2020,7242
EMP0024,Sherif,Ismail,Male,Cashier,1,13/05/2023,4875
EMP0025,Engy,Barakat,Female,Cashier,1,08/02/2021,3960
EMP0026,Mohamed,Farouk,Male,Store Manager,1,01/04/2022,13645
EMP0027,Nour,Farouk,Female,Senior Sales Associate,1,28/01/2018,6676
EMP0028,Wael,Saad,Male,Department Manager,1,07/08/2023,9604
EMP0029,Maged,Amin,Male,Store Manager,2,26/08/2019,15264
EMP0030,Heba,Ahmed,Female,Senior Sales Associate,2,27/09/2024,6030
EMP0031,Reem,Khalil,Female,Cashier,2,16/08/2022,3937
EMP0032,Nour,Khalil,Female,Department Manager,2,13/01/2022,9043
EMP0033,Dalia,Younis,Female,Cashier,2,24/12/2022,5104
EMP0034,Suzy,Salem,Female,Cashier,2,07/05/2020,5483
EMP0035,Ali,Bakr,Male,Department Manager,2,19/01/2019,9476
EMP0036,Akram,Khalil,Male,Sales Associate,2,03/09/2019,5743
EMP0037,Omar,Amin,Male,Sales Associate,2,19/02/2022,4504
EMP0038,Mona,Mahmoud,Female,Cashier,2,19/11/2022,4657
EMP0039,Osama,Nasser,Male,Cashier,2,11/12/2024,3988
EMP0040,Khaled,Zaki,Male,Cashier,2,25/06/2022,5416
EMP0041,Maged,Sayed,Male,Cashier,2,07/09/2019,4536
EMP0042,Ramy,Ibrahim,Male,Cashier,2,10/06/2020,3823
EMP0043,Adel,Barakat,Male,Sales Associate,2,27/11/2019,5135
EMP0044,Hussein,Abdallah,Male,Sales Associate,2,04/02/2021,5520
EMP0045,Eman,Younis,Female,Sales Associate,2,23/04/2023,4702
EMP0046,Osama,Wahba,Male,Cashier,2,28/05/2022,3604
EMP0047,Ayman,Saad,Male,Cashier,2,11/01/2019,5079
EMP0048,Osama,Khalil,Male,Sales Associate,2,18/08/2024,5445
EMP0049,Ahmed,Mostafa,Male,Department Manager,2,05/12/2019,9617
EMP0050,Tarek,Salem,Male,Department Manager,2,02/03/2022,9131
EMP0051,Mahmoud,Gamal,Male,Department Manager,2,08/11/2020,9865
EMP0052,Ashraf,Salem,Male,Cashier,2,26/03/2020,5160
EMP0053,Ashraf,Mohamed,Male,Senior Sales Associate,2,11/12/2020,7602
EMP0054,Reem,Saad,Female,Cashier,2,04/12/2020,4283
EMP0055,Nadia,Ali,Female,Store Manager,3,14/10/2018,14207
EMP0056,Doha,Ramadan,Female,Sales Associate,3,19/07/2018,4389
EMP0057,Ayman,Hassan,Male,Cashier,3,14/06/2020,3643
EMP0058,Ghada,Bakr,Female,Department Manager,3,10/12/2018,9538
EMP0059,Ashraf,Bakr,Male,Department Manager,3,10/12/2023,9635
EMP0060,Ashraf,Lotfy,Male,Cashier,3,19/10/2019,4116
EMP0061,Ahmed,Zaki,Male,Cashier,3,14/04/2021,5109
EMP0062,Doha,Attia,Female,Store Manager,3,22/08/2024,13937
EMP0063,Youssef,Mahmoud,Male,Department Manager,3,22/09/2021,9796
EMP0064,Dina,Amin,Female,Department Manager,3,26/04/2021,8907
EMP0065,Mahmoud,Amin,Male,Sales Associate,3,28/10/2024,5573
EMP0066,Ashraf,Ismail,Male,Department Manager,3,13/08/2023,8999
EMP0067,Ahmed,Sayed,Male,Cashier,3,06/04/2023,5146
EMP0068,Dalia,Ahmed,Female,Cashier,3,15/02/2020,3773
EMP0069,Doha,Badawi,Female,Store Manager,3,15/09/2023,15337
EMP0070,Essam,Badawi,Male,Sales Associate,3,27/04/2021,5305
EMP0071,Akram,Fathy,Male,Store Manager,3,15/05/2020,13658
EMP0072,Reem,Saad,Female,Cashier,3,18/06/2022,3665
EMP0073,Hany,Lotfy,Male,Cashier,3,07/12/2019,3631
EMP0074,Nader,Attia,Male,Cashier,3,07/01/2023,5205
EMP0075,Mohamed,Lotfy,Male,Sales Associate,3,12/01/2024,4611
EMP0076,Zeinab,Farouk,Female,Sales Associate,3,09/04/2024,4892
EMP0077,Bassem,Hafez,Male,Store Manager,3,06/12/2023,15221
EMP0078,Khaled,Mohamed,Male,Senior Sales Associate,3,19/10/2023,7357
EMP0079,Ashraf,Rizk,Male,Store Manager,4,01/08/2020,15034
EMP0080,Ramy,Farouk,Male,Sales Associate,4,02/11/2020,5544
EMP0081,Wael,Ismail,Male,Sales Associate,4,05/10/2020,4488
EMP0082,Ibrahim,Nasser,Male,Cashier,4,09/12/2023,5070
EMP0083,Ibrahim,Khalil,Male,Senior Sales Associate,4,19/02/2022,6052
EMP0084,Samah,Shaaban,Female,Cashier,4,19/02/2021,4914
EMP0085,Reem,Sayed,Female,Senior Sales Associate,4,20/11/2022,7649
EMP0086,Mahmoud,Gamal,Male,Sales Associate,4,22/07/2024,4758
EMP0087,Nader,Hassan,Male,Store Manager,4,04/08/2023,14387
EMP0088,Dalia,Salem,Female,Cashier,4,24/03/2023,4568
EMP0089,Eman,Gouda,Female,Cashier,4,27/07/2023,4997
EMP0090,Doha,Amin,Female,Department Manager,4,15/05/2020,8999
EMP0091,Samah,Hafez,Female,Cashier,4,28/08/2020,4165
